"domain","question","generated_answer","gold_answer","bleu","rouge-1","rouge-2","rouge-l","embedding_similarity"
"IPC","What is meant by 'Communtation of sentence of death' and 'Communtation of sentence of imprisonment' in the Indian Penal Code?",": ""Commutation"" of a sentence means substituting one form of punishment for a less severe one. It's an act of clemency.  1.  Commutation of Death Sentence: Commutation of a death sentence means reducing it to a less severe punishment, such as life imprisonment or imprisonment for a term of years. This power is typically exercised by the President of India (under Article 72 of the Constitution) or the Governor of a State (under Article 161 of the Constitution).  2.  Commutation of Imprisonment: Commutation of imprisonment means reducing the term of imprisonment or substituting it with a different form of punishment. For example, rigorous imprisonment might be commuted to simple imprisonment, or a long term of imprisonment might be reduced to a shorter term. This power is also exercised by the President or Governor, and the specific procedures are laid out in the Code of Criminal Procedure (CrPC).","These terms refer to the reduction of the severity of a penalty or sentence of death or imprisonment. However, the specific details of these terms as used in the Indian Penal Code are not provided in the given text.","3.980740269080678e-155","0.24528301489320048","0.06451612539771093","0.2075471658365967","0.8908491730690002"
"IPC","What do the terms 'Communtation of sentence of death' and 'Communtation of sentence of imprisonment' generally refer to?",": In the Indian legal system, ""commutation"" refers to the substitution of one form of punishment for a lighter one.  1.  Commutation of sentence of death: This means reducing a death sentence to a less severe punishment, typically life imprisonment. The convict is spared the death penalty but must serve a life sentence instead.  2.  Commutation of sentence of imprisonment: This involves reducing a term of imprisonment to a shorter period or a different form of punishment. For example, a sentence of rigorous imprisonment might be commuted to simple imprisonment, or a long prison sentence might be reduced to a shorter one.","These terms generally refer to the reduction of the severity of a penalty or sentence of death or imprisonment.","9.576632697876161e-79","0.24324324001095693","0.03738317477159598","0.21621621298392993","0.8757777810096741"
"IPC","What is the definition of 'appropriate Government' according to section 55A?",": According to Section 55A of the Bharatiya Nyaya Sanhita, the term ""appropriate Government"" is defined as follows:  (a) In cases where the sentence is a sentence of death or is for an offence against any law relating to a matter to which the executive power of the Union extends, it means the Central Government. (b) In cases where the sentence (whether of death or not) is for an offence against any law relating to a matter to which the executive power of the State extends, it means the Government of the State within which the offender is sentenced.","The text does not provide a definition for 'appropriate Government' under section 55A.","2.3652148438019824e-155","0.09677419023413122","0.0","0.06451612571800225","0.8057996034622192"
"IPC","Does the text provide a definition for 'appropriate Government' under section 55A?",":I am sorry, I cannot use the available tools to answer the question. The available tools do not have the ability to search for a specific section like 55A.","No, the text does not provide a definition for 'appropriate Government' under section 55A.","4.334574764345029e-155","0.31578946903047095","0.0","0.26315789008310253","0.8292940258979797"
"IPC","What is the punishment for fractions of terms according to section 57?",": According to Section 6 of the Bharatiya Nyaya Sanhita, for calculating fractions of terms of punishment, imprisonment for life is reckoned as equivalent to imprisonment for twenty years, unless otherwise provided. There is no mention of fractions of terms in the material provided from the search of Section 57.","The text does not provide specific details on the punishment for fractions of terms under section 57.","1.833793904765424e-78","0.23529411320261448","0.06451612520291386","0.23529411320261448","0.8866546750068665"
"IPC","Does the text provide specific details on the punishment for fractions of terms under section 57?",": The text provides some details on calculating fractions of terms of punishment, particularly regarding life imprisonment, but it doesn't specifically detail the punishment for fractions of terms under section 57. It mainly focuses on how to reckon life imprisonment when calculating fractions.","No, the text does not provide specific details on the punishment for fractions of terms under section 57.","0.1753814013240929","0.4615384571375741","0.3214285672002552","0.4615384571375741","0.9202268719673157"
"IPC","What does section 60 state about the sentence?",": Section 60 of the Bharatiya Nyaya Sanhita (BNS) states that whoever, intending to facilitate or knowing it to be likely that he will thereby facilitate the commission of an offence punishable with imprisonment, voluntarily conceals, by any act or illegal omission, the existence of a design to commit such offence, or makes any representation which he knows to be false respecting such design, shall be punished with imprisonment of the description.","Section 60 states that the sentence may be wholly or partly rigorous or simple in certain cases of imprisonment.","3.600676750151458e-155","0.25352112297560014","0.04597700821244574","0.19718309480658602","0.8203227519989014"
"IPC","Which section states that the sentence may be wholly or partly rigorous or simple in certain cases of imprisonment?",": I need to broaden my search to include the ""nature of imprisonment"" in BNS to provide a more accurate answer.","Section 60 states that.","8.231055179516831e-232","0.0","0.0","0.0","0.7006743550300598"
"IPC","What does section 63 refer to?",": Section 63 can refer to different sections depending on the legal context:  1.  Constitution of India: It refers to amendments regarding the appointment of judges, specifically concerning the roles of the Chief Justice of India and the President.  2.  Bharatiya Nyaya Sanhita: It is related to a person in authority or a public servant abusing their position to induce or seduce a woman.  3.  Landmark Cases: It relates to a case where the High Court set aside a provision banning lawyers from appearing before Nayay Panchayats, holding that it violated Article 21 of the Constitution.  4.  Supreme Court Landmark Cases: It appears in the context of a constitutional challenge against Section 6A of the Citizenship Act, 1955.","Section 63 refers to the amount of fine.","2.5355428766603986e-155","0.12903225649208003","0.03361344427088486","0.12903225649208003","0.7943377494812012"
"IPC","What does the amount of fine refer to in legal terms?",": In legal terms, a fine refers to a monetary penalty imposed by a court or other authority as a punishment for an offense or violation of a law. It is a sum of money that the convicted person is required to pay as a consequence of their unlawful actions. The amount of the fine is usually determined by the severity of the offense and is prescribed by the relevant statute or law.","In legal terms, the amount of fine refers to Section 63.","0.055493019191353535","0.31034482451248513","0.1265822762698286","0.2758620658917955","0.8050832748413086"
